Entity,Code,Minutes spent on leisure - women,Minutes spent on leisure - men ,Population
Australia,AUS,269,297,25670052
Austria,AUT,274,308,8907780
Belgium,BEL,317,365,11561716
Canada,CAN,260,298,37888704
China,CHN,211,248,1424929792
Denmark,DNK,320,340,5825638
Estonia,EST,278,345,1329449
Finland,FIN,304,359,5529468
France,FRA,270,319,64480052
Germany,DEU,316,346,83328992
Greece,GRC,311,375,10512232
Hungary,HUN,257,308,9750571
India,IND,221,283,1396387072
Ireland,IRL,287,338,4946123
Italy,ITA,281,366,59500576
Japan,JPN,266,292,125244760
Latvia,LVA,249,290,1897057
Lithuania,LTU,215,282,2820269
Luxembourg,LUX,253,299,630401
Mexico,MEX,159,187,125998296
Netherlands,NLD,300,330,17434562
New Zealand,NZL,295,306,5061130
Norway,NOR,366,370,5379836
Poland,POL,262,311,38428368
Portugal,PRT,200,289,10298186
Slovenia,SVN,283,337,2117648
South Africa,ZAF,282,334,58801928
South Korea,KOR,244,272,51844688
Spain,ESP,284,347,47363808
Sweden,SWE,306,338,10368968
Turkey,TUR,270,301,84135432
United Kingdom,GBR,285,327,67059472
United States,USA,267,316,335942016
