movie,URL,year,rating
Knives Out,/title/tt8946378/,(2019),7.9
The Batman,/title/tt1877830/,(2022),7.8
Die Hard,/title/tt0095016/,(1988),8.2
See How They Run,/title/tt13640696/,(2022),6.5
The Dark Knight,/title/tt0468569/,(2008),9.0
Blade Runner 2049,/title/tt1856101/,(2017),8.0
Goodfellas,/title/tt0099685/,(1990),8.7
Tusk,/title/tt3099498/,(I) (2014),5.3
Last Night in Soho,/title/tt9639470/,(2021),7.1
Joker,/title/tt7286456/,(I) (2019),8.4
Se7en,/title/tt0114369/,(1995),8.6
Memory,/title/tt11827628/,(2022),5.7
Gone Girl,/title/tt2267998/,(2014),8.1
The Equalizer,/title/tt0455944/,(2014),7.2
Promising Young Woman,/title/tt9620292/,(2020),7.5
Prisoners,/title/tt1392214/,(2013),8.1
Blade Runner,/title/tt0083658/,(1982),8.1
Suspiria,/title/tt1034415/,(I) (2018),6.7
Heat,/title/tt0113277/,(1995),8.3
The Dark Knight Rises,/title/tt1345836/,(2012),8.4
Call Jane,/title/tt7461272/,(2022),6.2
Nocturnal Animals,/title/tt4550098/,(2016),7.5
West Side Story,/title/tt3581652/,(2021),7.2
Kill Bill: Vol. 1,/title/tt0266697/,(2003),8.2
Kick-Ass,/title/tt1250777/,(2010),7.6
Basic Instinct,/title/tt0103772/,(1992),7.0
Unfaithful,/title/tt0250797/,(2002),6.7
Blue Velvet,/title/tt0090756/,(1986),7.7
The Exorcist,/title/tt0070047/,(1973),8.1
Hell or High Water,/title/tt2582782/,(II) (2016),7.6
Sin City,/title/tt0401792/,(2005),8.0
The Imitation Game,/title/tt2084970/,(2014),8.0
Watchmen,/title/tt0409459/,(2009),7.6
Body Heat,/title/tt0082089/,(1981),7.4
Batman Begins,/title/tt0372784/,(2005),8.2
The Little Things,/title/tt10016180/,(2021),6.3
Nightcrawler,/title/tt2872718/,(2014),7.8
Man on Fire,/title/tt0328107/,(2004),7.7
R.I.P.D.,/title/tt0790736/,(2013),5.6
V for Vendetta,/title/tt0434409/,(2005),8.2
The Mask,/title/tt0110475/,(1994),6.9
Legend,/title/tt3569230/,(I) (2015),6.9
Inside Man,/title/tt0454848/,(2006),7.6
True Romance,/title/tt0108399/,(1993),7.9
The Killers,/title/tt0038669/,(1946),7.7
The Fast and the Furious,/title/tt0232500/,(2001),6.8
Point Break,/title/tt0102685/,(1991),7.2
Minority Report,/title/tt0181689/,(2002),7.6
Collateral,/title/tt0369339/,(2004),7.5
Die Hard 2,/title/tt0099423/,(1990),7.1
The Place Beyond the Pines,/title/tt1817273/,(2012),7.3
Highlander,/title/tt0091203/,(1986),7.1
Constantine,/title/tt0360486/,(2005),7.0
The Sting,/title/tt0070735/,(1973),8.3
Lucy,/title/tt2872732/,(I) (2014),6.4
The Guilty,/title/tt9421570/,(2021),6.3
Insidious: Chapter 2,/title/tt2226417/,(2013),6.5
American Gangster,/title/tt0765429/,(2007),7.8
Memories of Murder,/title/tt0353969/,(2003),8.1
Limitless,/title/tt1219289/,(I) (2011),7.4
Birds of Prey,/title/tt7713068/,(2020),6.0
Zodiac,/title/tt0443706/,(2007),7.7
Venom: Let There Be Carnage,/title/tt7097896/,(2021),5.9
The Other Guys,/title/tt1386588/,(2010),6.6
Black Christmas,/title/tt0071222/,(1974),7.1
A Nightmare on Elm Street,/title/tt0087800/,(1984),7.4
Rush Hour,/title/tt0120812/,(1998),7.0
Malignant,/title/tt3811906/,(I) (2021),6.2
Texas Killing Fields,/title/tt1389127/,(2011),5.7
Saw,/title/tt0387564/,(2004),7.6
In Time,/title/tt1637688/,(2011),6.7
Natural Born Killers,/title/tt0110632/,(1994),7.2
A Simple Favor,/title/tt7040874/,(2018),6.8
Pain & Gain,/title/tt1980209/,(2013),6.4
The Fugitive,/title/tt0106977/,(1993),7.8
L.A. Confidential,/title/tt0119488/,(1997),8.2
Hot Fuzz,/title/tt0425112/,(2007),7.8
Wild Things,/title/tt0120890/,(1998),6.6
Resident Evil: Welcome to Raccoon City,/title/tt6920084/,(2021),5.2
Mystic River,/title/tt0327056/,(2003),7.9
Ace Ventura: Pet Detective,/title/tt0109040/,(1994),6.9
Gaslight,/title/tt0036855/,(1944),7.8
Ant-Man,/title/tt0478970/,(2015),7.3
Lost Bullet,/title/tt10456740/,(2020),6.3
2 Fast 2 Furious,/title/tt0322259/,(2003),5.9
Die Hard with a Vengeance,/title/tt0112864/,(1995),7.6
Nemesis,/title/tt0107668/,(1992),5.4
Dark City,/title/tt0118929/,(1998),7.6
Chinatown,/title/tt0071315/,(1974),8.2
Jack Reacher,/title/tt0790724/,(2012),7.0
Freeway,/title/tt0116361/,(1996),6.8
Lethal Weapon,/title/tt0093409/,(1987),7.6
The Da Vinci Code,/title/tt0382625/,(2006),6.6
Thelma & Louise,/title/tt0103074/,(1991),7.5
The Invisible Man,/title/tt1051906/,(I) (2020),7.1
Gattaca,/title/tt0119177/,(1997),7.8
Crash,/title/tt0375679/,(I) (2004),7.8
Who Framed Roger Rabbit,/title/tt0096438/,(1988),7.7
Den of Thieves,/title/tt1259528/,(2018),7.0
Alpha Dog,/title/tt0426883/,(2006),6.9
